Date : 2026-09-12 21:21:32
Directory : /Users/loucadaviot/Desktop/crfm
Total : 191 files,  35429 codes, 1564 comments, 4785 blanks, all 41778 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        137 |     12,865 |        992 |      2,633 |     16,490 |
| JavaScript JSX     |         45 |     11,440 |        572 |      2,132 |     14,144 |
| JSON               |          5 |     10,964 |          0 |          5 |     10,969 |
| PostCSS            |          1 |        130 |          0 |          6 |        136 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Markdown           |          1 |          9 |          0 |          8 |         17 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        191 |     35,429 |      1,564 |      4,785 |     41,778 |
| backend                                                                                                        |        105 |     14,627 |        666 |      2,085 |     17,378 |
| backend (Files)                                                                                                |          3 |      4,261 |          0 |          5 |      4,266 |
| backend/config                                                                                                 |          2 |         42 |          0 |          4 |         46 |
| backend/controller                                                                                             |         13 |      1,148 |          0 |        204 |      1,352 |
| backend/middlewares                                                                                            |          3 |         63 |          0 |         17 |         80 |
| backend/migrations                                                                                             |         16 |        856 |         16 |         76 |        948 |
| backend/models                                                                                                 |         16 |      1,045 |          0 |         97 |      1,142 |
| backend/routes                                                                                                 |         14 |        591 |          0 |         98 |        689 |
| backend/schema                                                                                                 |          1 |        379 |         74 |        182 |        635 |
| backend/scripts                                                                                                |          2 |        188 |         17 |         64 |        269 |
| backend/seeders                                                                                                |         13 |      1,104 |        101 |        119 |      1,324 |
| backend/services                                                                                               |         16 |      4,537 |        452 |      1,158 |      6,147 |
| backend/services (Files)                                                                                       |         14 |      4,131 |        406 |      1,043 |      5,580 |
| backend/services/validation                                                                                    |          2 |        406 |         46 |        115 |        567 |
| backend/src                                                                                                    |          2 |         47 |          6 |         15 |         68 |
| backend/test                                                                                                   |          2 |        343 |          0 |         39 |        382 |
| backend/utils                                                                                                  |          2 |         23 |          0 |          7 |         30 |
| frontend                                                                                                       |         86 |     20,802 |        898 |      2,700 |     24,400 |
| frontend (Files)                                                                                               |          8 |      6,807 |          0 |         15 |      6,822 |
| frontend/security                                                                                              |          2 |         62 |          0 |         18 |         80 |
| frontend/src                                                                                                   |         76 |     13,933 |        898 |      2,667 |     17,498 |
| frontend/src (Files)                                                                                           |          3 |        366 |          9 |         16 |        391 |
| frontend/src/api                                                                                               |          1 |         41 |          0 |         20 |         61 |
| frontend/src/components                                                                                        |          5 |        469 |         17 |         79 |        565 |
| frontend/src/components/layout                                                                                 |          2 |        191 |          7 |         34 |        232 |
| frontend/src/components/layout (Files)                                                                         |          1 |        112 |          4 |         20 |        136 |
| frontend/src/components/layout/admin                                                                           |          1 |         79 |          3 |         14 |         96 |
| frontend/src/components/ui                                                                                     |          3 |        278 |         10 |         45 |        333 |
| frontend/src/features                                                                                          |         63 |     12,209 |        862 |      2,429 |     15,500 |
| frontend/src/features/auth                                                                                     |          5 |      1,308 |          7 |        294 |      1,609 |
| frontend/src/features/auth/api                                                                                 |          1 |         13 |          0 |          6 |         19 |
| frontend/src/features/auth/hooks                                                                               |          1 |         27 |          0 |          8 |         35 |
| frontend/src/features/auth/pages                                                                               |          3 |      1,268 |          7 |        280 |      1,555 |
| frontend/src/features/compagnies                                                                               |          4 |        541 |          0 |         74 |        615 |
| frontend/src/features/compagnies/api                                                                           |          1 |         21 |          0 |          5 |         26 |
| frontend/src/features/compagnies/components                                                                    |          1 |        480 |          0 |         62 |        542 |
| frontend/src/features/compagnies/hooks                                                                         |          1 |         28 |          0 |          5 |         33 |
| frontend/src/features/compagnies/pages                                                                         |          1 |         12 |          0 |          2 |         14 |
| frontend/src/features/conducteur                                                                               |         10 |      1,327 |         35 |        212 |      1,574 |
| frontend/src/features/conducteur/api                                                                           |          1 |         39 |          0 |          7 |         46 |
| frontend/src/features/conducteur/components                                                                    |          6 |        758 |         24 |        111 |        893 |
| frontend/src/features/conducteur/pages                                                                         |          2 |        446 |         11 |         73 |        530 |
| frontend/src/features/conducteur/utils                                                                         |          1 |         84 |          0 |         21 |        105 |
| frontend/src/features/missions                                                                                 |         30 |      7,131 |        781 |      1,576 |      9,488 |
| frontend/src/features/missions/api                                                                             |          1 |        108 |          2 |         19 |        129 |
| frontend/src/features/missions/components                                                                      |          5 |        629 |          2 |         70 |        701 |
| frontend/src/features/missions/components/etape2                                                               |          4 |        450 |          0 |         45 |        495 |
| frontend/src/features/missions/components/etape4                                                               |          1 |        179 |          2 |         25 |        206 |
| frontend/src/features/missions/context                                                                         |          3 |        834 |        155 |        238 |      1,227 |
| frontend/src/features/missions/hooks                                                                           |          7 |      1,750 |        324 |        375 |      2,449 |
| frontend/src/features/missions/pages                                                                           |          8 |      3,779 |        298 |        856 |      4,933 |
| frontend/src/features/missions/services                                                                        |          1 |          0 |          0 |          1 |          1 |
| frontend/src/features/missions/utils                                                                           |          5 |         31 |          0 |         17 |         48 |
| frontend/src/features/sections                                                                                 |          3 |        426 |          8 |         61 |        495 |
| frontend/src/features/sections/api                                                                             |          1 |         21 |          0 |          5 |         26 |
| frontend/src/features/sections/hooks                                                                           |          1 |         58 |          0 |          9 |         67 |
| frontend/src/features/sections/pages                                                                           |          1 |        347 |          8 |         47 |        402 |
| frontend/src/features/users                                                                                    |          4 |        700 |         17 |        105 |        822 |
| frontend/src/features/users/api                                                                                |          2 |         38 |          0 |         12 |         50 |
| frontend/src/features/users/hooks                                                                              |          1 |         58 |          0 |         10 |         68 |
| frontend/src/features/users/page                                                                               |          1 |        604 |         17 |         83 |        704 |
| frontend/src/features/vehicules                                                                                |          7 |        776 |         14 |        107 |        897 |
| frontend/src/features/vehicules/api                                                                            |          1 |         28 |          0 |          9 |         37 |
| frontend/src/features/vehicules/components                                                                     |          1 |         89 |          0 |         12 |        101 |
| frontend/src/features/vehicules/hooks                                                                          |          2 |         50 |          0 |          8 |         58 |
| frontend/src/features/vehicules/pages                                                                          |          3 |        609 |         14 |         78 |        701 |
| frontend/src/pages                                                                                             |          3 |        843 |         10 |        121 |        974 |
| frontend/src/pages/admin                                                                                       |          3 |        843 |         10 |        121 |        974 |
| frontend/src/utils                                                                                             |          1 |          5 |          0 |          2 |          7 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/loucadaviot/Desktop/crfm/backend/config/config.cjs                                                      | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/loucadaviot/Desktop/crfm/backend/config/db.config.js                                                    | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/auth.controller.js                                          | JavaScript         |         44 |          0 |          8 |         52 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/carburant.controller.js                                     | JavaScript         |         23 |          0 |          2 |         25 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/compagnie.controller.js                                     | JavaScript         |         86 |          0 |         13 |         99 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/conducteur.controller.js                                    | JavaScript         |         66 |          0 |         11 |         77 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missionUser.controller.js                                   | JavaScript         |         95 |          0 |          9 |        104 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missions.controller.js                                      | JavaScript         |        256 |          0 |         69 |        325 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missionsGroupes.controller.js                               | JavaScript         |         53 |          0 |         13 |         66 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missionsVehicules.controller.js                             | JavaScript         |         64 |          0 |         10 |         74 |
