Date : 2026-08-30 12:55:57
Directory : /Users/loucadaviot/Desktop/crfm
Total : 181 files,  30578 codes, 1404 comments, 3581 blanks, all 35563 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        129 |     11,783 |        909 |      2,330 |     15,022 |
| JSON               |          5 |     10,946 |          0 |          5 |     10,951 |
| JavaScript JSX     |         43 |      7,689 |        495 |      1,231 |      9,415 |
| PostCSS            |          1 |        130 |          0 |          6 |        136 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Markdown           |          1 |          9 |          0 |          8 |         17 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        181 |     30,578 |      1,404 |      3,581 |     35,563 |
| backend                                                                                                           |         97 |     13,561 |        583 |      1,787 |     15,931 |
| backend (Files)                                                                                                   |          3 |      4,261 |          0 |          5 |      4,266 |
| backend/config                                                                                                    |          2 |         42 |          0 |          4 |         46 |
| backend/controller                                                                                                |         12 |      1,077 |          0 |        191 |      1,268 |
| backend/middlewares                                                                                               |          2 |         46 |          0 |         13 |         59 |
| backend/migrations                                                                                                |         15 |        818 |         15 |         69 |        902 |
| backend/models                                                                                                    |         15 |      1,006 |          0 |         90 |      1,096 |
| backend/routes                                                                                                    |         13 |        271 |          0 |         58 |        329 |
| backend/scripts                                                                                                   |          1 |        140 |         14 |         47 |        201 |
| backend/seeders                                                                                                   |         13 |      1,101 |        101 |        119 |      1,321 |
| backend/services                                                                                                  |         15 |      4,386 |        447 |      1,130 |      5,963 |
| backend/services (Files)                                                                                          |         13 |      3,966 |        399 |      1,014 |      5,379 |
| backend/services/validation                                                                                       |          2 |        420 |         48 |        116 |        584 |
| backend/src                                                                                                       |          2 |         47 |          6 |         15 |         68 |
| backend/test                                                                                                      |          2 |        343 |          0 |         39 |        382 |
| backend/utils                                                                                                     |          2 |         23 |          0 |          7 |         30 |
| frontend                                                                                                          |         84 |     17,017 |        821 |      1,794 |     19,632 |
| frontend (Files)                                                                                                  |          8 |      6,789 |          0 |         15 |      6,804 |
| frontend/security                                                                                                 |          1 |          9 |          0 |          4 |         13 |
| frontend/src                                                                                                      |         75 |     10,219 |        821 |      1,775 |     12,815 |
| frontend/src (Files)                                                                                              |          3 |        291 |         10 |         15 |        316 |
| frontend/src/api                                                                                                  |          1 |         41 |          0 |         20 |         61 |
| frontend/src/components                                                                                           |          5 |        165 |          1 |         21 |        187 |
| frontend/src/components/layout                                                                                    |          2 |         57 |          0 |          7 |         64 |
| frontend/src/components/layout (Files)                                                                            |          1 |         20 |          0 |          5 |         25 |
| frontend/src/components/layout/admin                                                                              |          1 |         37 |          0 |          2 |         39 |
| frontend/src/components/ui                                                                                        |          3 |        108 |          1 |         14 |        123 |
| frontend/src/features                                                                                             |         62 |      9,694 |        810 |      1,707 |     12,211 |
| frontend/src/features/auth                                                                                        |          3 |        106 |          0 |         17 |        123 |
| frontend/src/features/auth/api                                                                                    |          1 |          5 |          0 |          2 |          7 |
| frontend/src/features/auth/hooks                                                                                  |          1 |         27 |          0 |          8 |         35 |
| frontend/src/features/auth/pages                                                                                  |          1 |         74 |          0 |          7 |         81 |
| frontend/src/features/compagnies                                                                                  |          4 |        298 |          0 |         38 |        336 |
| frontend/src/features/compagnies/api                                                                              |          1 |         21 |          0 |          5 |         26 |
| frontend/src/features/compagnies/components                                                                       |          1 |        238 |          0 |         25 |        263 |
| frontend/src/features/compagnies/hooks                                                                            |          1 |         28 |          0 |          5 |         33 |
| frontend/src/features/compagnies/pages                                                                            |          1 |         11 |          0 |          3 |         14 |
| frontend/src/features/conducteur                                                                                  |          9 |        856 |          0 |        117 |        973 |
| frontend/src/features/conducteur/api                                                                              |          1 |         31 |          0 |          6 |         37 |
| frontend/src/features/conducteur/components                                                                       |          5 |        420 |          0 |         52 |        472 |
| frontend/src/features/conducteur/pages                                                                            |          2 |        321 |          0 |         38 |        359 |
| frontend/src/features/conducteur/utils                                                                            |          1 |         84 |          0 |         21 |        105 |
| frontend/src/features/missions                                                                                    |         32 |      7,070 |        808 |      1,369 |      9,247 |
| frontend/src/features/missions/api                                                                                |          1 |        108 |          2 |         19 |        129 |
| frontend/src/features/missions/components                                                                         |          8 |        735 |         22 |         51 |        808 |
| frontend/src/features/missions/components/etape2                                                                  |          4 |        402 |          0 |         29 |        431 |
| frontend/src/features/missions/components/etape4                                                                  |          4 |        333 |         22 |         22 |        377 |
| frontend/src/features/missions/context                                                                            |          3 |        834 |        155 |        238 |      1,227 |
| frontend/src/features/missions/hooks                                                                              |          7 |      1,750 |        324 |        375 |      2,449 |
| frontend/src/features/missions/pages                                                                              |          7 |      3,612 |        305 |        668 |      4,585 |
| frontend/src/features/missions/services                                                                           |          1 |          0 |          0 |          1 |          1 |
| frontend/src/features/missions/utils                                                                              |          5 |         31 |          0 |         17 |         48 |
| frontend/src/features/sections                                                                                    |          3 |        295 |          0 |         35 |        330 |
| frontend/src/features/sections/api                                                                                |          1 |         21 |          0 |          5 |         26 |
| frontend/src/features/sections/hooks                                                                              |          1 |         58 |          0 |          9 |         67 |
| frontend/src/features/sections/pages                                                                              |          1 |        216 |          0 |         21 |        237 |
| frontend/src/features/users                                                                                       |          4 |        336 |          0 |         43 |        379 |
| frontend/src/features/users/api                                                                                   |          2 |         38 |          0 |         12 |         50 |
| frontend/src/features/users/hooks                                                                                 |          1 |         58 |          0 |         10 |         68 |
| frontend/src/features/users/page                                                                                  |          1 |        240 |          0 |         21 |        261 |
| frontend/src/features/vehicules                                                                                   |          7 |        733 |          2 |         88 |        823 |
| frontend/src/features/vehicules/api                                                                               |          1 |         28 |          0 |          9 |         37 |
| frontend/src/features/vehicules/components                                                                        |          1 |         89 |          0 |         12 |        101 |
| frontend/src/features/vehicules/hooks                                                                             |          2 |         50 |          0 |          8 |         58 |
| frontend/src/features/vehicules/pages                                                                             |          3 |        566 |          2 |         59 |        627 |
| frontend/src/pages                                                                                                |          3 |         23 |          0 |         10 |         33 |
| frontend/src/pages/admin                                                                                          |          3 |         23 |          0 |         10 |         33 |
| frontend/src/utils                                                                                                |          1 |          5 |          0 |          2 |          7 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                          | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/loucadaviot/Desktop/crfm/backend/config/config.cjs                                                         | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/loucadaviot/Desktop/crfm/backend/config/db.config.js                                                       | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/auth.controller.js                                             | JavaScript         |         19 |          0 |          2 |         21 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/compagnie.controller.js                                        | JavaScript         |         86 |          0 |         13 |         99 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/conducteur.controller.js                                       | JavaScript         |         66 |          0 |         11 |         77 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missionUser.controller.js                                      | JavaScript         |         95 |          0 |          9 |        104 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missions.controller.js                                         | JavaScript         |        256 |          0 |         69 |        325 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missionsGroupes.controller.js                                  | JavaScript         |         53 |          0 |         13 |         66 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/missionsVehicules.controller.js                                | JavaScript         |         64 |          0 |         10 |         74 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/role.controller.js                                             | JavaScript         |         12 |          0 |          3 |         15 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/sections.controller.js                                         | JavaScript         |         87 |          0 |         12 |         99 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/typeVehicules.controller.js                                    | JavaScript         |         82 |          0 |         10 |         92 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/user.controller.js                                             | JavaScript         |        168 |          0 |         32 |        200 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/vehicule.controller.js                                         | JavaScript         |         89 |          0 |          7 |         96 |
| /Users/loucadaviot/Desktop/crfm/backend/eslint.config.js                                                          | JavaScript         |         39 |          0 |          3 |         42 |
| /Users/loucadaviot/Desktop/crfm/backend/middlewares/auth.middleware.js                                            | JavaScript         |         28 |          0 |          9 |         37 |
| /Users/loucadaviot/Desktop/crfm/backend/middlewares/permissions.middleware.js                                     | JavaScript         |         18 |          0 |          4 |         22 |
| /Users/loucadaviot/Desktop/crfm/backend/migrations/20260705114038-create-roles.cjs                                | JavaScript         |         31 |          1 |          3 |         35 |
| /Users/loucadaviot/Desktop/crfm/backend/migrations/20260705115001-create-compagnie.cjs                            | JavaScript         |         41 |          1 |          2 |         44 |
| /Users/loucadaviot/Desktop/crfm/backend/migrations/20260705120633-create-sections.cjs                             | JavaScript         |         44 |          1 |          3 |         48 |
