Date : 2026-09-20 02:56:55
Directory : /Users/loucadaviot/Desktop/crfm
Total : 186 files,  44361 codes, 1421 comments, 4534 blanks, all 50316 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     20,682 |          0 |          5 |     20,687 |
| JavaScript         |        132 |     12,204 |        852 |      2,403 |     15,459 |
| JavaScript JSX     |         45 |     11,308 |        569 |      2,103 |     13,980 |
| PostCSS            |          1 |        130 |          0 |          6 |        136 |
| HTML               |          1 |         20 |          0 |          9 |         29 |
| Markdown           |          1 |          9 |          0 |          8 |         17 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        186 |     44,361 |      1,421 |      4,534 |     50,316 |
| backend                                                                                                        |        100 |     19,633 |        551 |      1,867 |     22,051 |
| backend (Files)                                                                                                |          3 |      9,864 |          0 |          5 |      9,869 |
| backend/config                                                                                                 |          2 |         42 |          0 |          4 |         46 |
| backend/controller                                                                                             |         13 |      1,090 |          0 |        184 |      1,274 |
| backend/middlewares                                                                                            |          2 |         45 |          0 |         13 |         58 |
| backend/migrations                                                                                             |         16 |        856 |         16 |         76 |        948 |
| backend/models                                                                                                 |         16 |      1,045 |          0 |         97 |      1,142 |
| backend/routes                                                                                                 |         14 |        582 |          0 |        105 |        687 |
| backend/scripts                                                                                                |          2 |        171 |         16 |         58 |        245 |
| backend/seeders                                                                                                |         10 |        937 |         93 |         97 |      1,127 |
| backend/services                                                                                               |         16 |      4,571 |        419 |      1,165 |      6,155 |
| backend/services (Files)                                                                                       |         14 |      4,131 |        363 |      1,044 |      5,538 |
| backend/services/validation                                                                                    |          2 |        440 |         56 |        121 |        617 |
| backend/src                                                                                                    |          2 |         64 |          7 |         17 |         88 |
| backend/test                                                                                                   |          2 |        343 |          0 |         39 |        382 |
| backend/utils                                                                                                  |          2 |         23 |          0 |          7 |         30 |
| frontend                                                                                                       |         86 |     24,728 |        870 |      2,667 |     28,265 |
| frontend (Files)                                                                                               |          8 |     10,967 |          0 |         31 |     10,998 |
| frontend/security                                                                                              |          2 |         61 |          1 |         18 |         80 |
| frontend/src                                                                                                   |         76 |     13,700 |        869 |      2,618 |     17,187 |
| frontend/src (Files)                                                                                           |          3 |        366 |          9 |         16 |        391 |
| frontend/src/api                                                                                               |          1 |         41 |          0 |         20 |         61 |
| frontend/src/components                                                                                        |          5 |        493 |         18 |         79 |        590 |
| frontend/src/components/layout                                                                                 |          2 |        196 |          7 |         34 |        237 |
| frontend/src/components/layout (Files)                                                                         |          1 |        114 |          4 |         20 |        138 |
| frontend/src/components/layout/admin                                                                           |          1 |         82 |          3 |         14 |         99 |
| frontend/src/components/ui                                                                                     |          3 |        297 |         11 |         45 |        353 |
| frontend/src/features                                                                                          |         63 |     11,952 |        832 |      2,380 |     15,164 |
| frontend/src/features/auth                                                                                     |          5 |      1,306 |          7 |        292 |      1,605 |
| frontend/src/features/auth/api                                                                                 |          1 |         13 |          0 |          6 |         19 |
| frontend/src/features/auth/hooks                                                                               |          1 |         26 |          0 |          7 |         33 |
| frontend/src/features/auth/pages                                                                               |          3 |      1,267 |          7 |        279 |      1,553 |
| frontend/src/features/compagnies                                                                               |          4 |        540 |          0 |         74 |        614 |
| frontend/src/features/compagnies/api                                                                           |          1 |         21 |          0 |          5 |         26 |
| frontend/src/features/compagnies/components                                                                    |          1 |        480 |          0 |         62 |        542 |
| frontend/src/features/compagnies/hooks                                                                         |          1 |         27 |          0 |          5 |         32 |
| frontend/src/features/compagnies/pages                                                                         |          1 |         12 |          0 |          2 |         14 |
| frontend/src/features/conducteur                                                                               |         10 |      1,327 |         35 |        212 |      1,574 |
| frontend/src/features/conducteur/api                                                                           |          1 |         39 |          0 |          7 |         46 |
| frontend/src/features/conducteur/components                                                                    |          6 |        758 |         24 |        111 |        893 |
| frontend/src/features/conducteur/pages                                                                         |          2 |        446 |         11 |         73 |        530 |
| frontend/src/features/conducteur/utils                                                                         |          1 |         84 |          0 |         21 |        105 |
| frontend/src/features/missions                                                                                 |         30 |      6,878 |        751 |      1,530 |      9,159 |
| frontend/src/features/missions/api                                                                             |          1 |        108 |          2 |         19 |        129 |
| frontend/src/features/missions/components                                                                      |          5 |        629 |          2 |         70 |        701 |
| frontend/src/features/missions/components/etape2                                                               |          4 |        450 |          0 |         45 |        495 |
| frontend/src/features/missions/components/etape4                                                               |          1 |        179 |          2 |         25 |        206 |
| frontend/src/features/missions/context                                                                         |          3 |        723 |        150 |        215 |      1,088 |
| frontend/src/features/missions/hooks                                                                           |          7 |      1,651 |        299 |        357 |      2,307 |
| frontend/src/features/missions/pages                                                                           |          8 |      3,736 |        298 |        851 |      4,885 |
| frontend/src/features/missions/services                                                                        |          1 |          0 |          0 |          1 |          1 |
| frontend/src/features/missions/utils                                                                           |          5 |         31 |          0 |         17 |         48 |
| frontend/src/features/sections                                                                                 |          3 |        426 |          8 |         61 |        495 |
| frontend/src/features/sections/api                                                                             |          1 |         21 |          0 |          5 |         26 |
| frontend/src/features/sections/hooks                                                                           |          1 |         58 |          0 |          9 |         67 |
| frontend/src/features/sections/pages                                                                           |          1 |        347 |          8 |         47 |        402 |
| frontend/src/features/users                                                                                    |          4 |        700 |         17 |        105 |        822 |
| frontend/src/features/users/api                                                                                |          2 |         38 |          0 |         12 |         50 |
| frontend/src/features/users/hooks                                                                              |          1 |         58 |          0 |         10 |         68 |
| frontend/src/features/users/page                                                                               |          1 |        604 |         17 |         83 |        704 |
| frontend/src/features/vehicules                                                                                |          7 |        775 |         14 |        106 |        895 |
| frontend/src/features/vehicules/api                                                                            |          1 |         27 |          0 |          8 |         35 |
| frontend/src/features/vehicules/components                                                                     |          1 |         89 |          0 |         12 |        101 |
| frontend/src/features/vehicules/hooks                                                                          |          2 |         50 |          0 |          8 |         58 |
| frontend/src/features/vehicules/pages                                                                          |          3 |        609 |         14 |         78 |        701 |
| frontend/src/pages                                                                                             |          3 |        843 |         10 |        121 |        974 |
| frontend/src/pages/admin                                                                                       |          3 |        843 |         10 |        121 |        974 |
| frontend/src/utils                                                                                             |          1 |          5 |          0 |          2 |          7 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/loucadaviot/Desktop/crfm/backend/config/config.cjs                                                      | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/loucadaviot/Desktop/crfm/backend/config/db.config.js                                                    | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/auth.controller.js                                          | JavaScript         |         44 |          0 |          8 |         52 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/carburant.controller.js                                     | JavaScript         |         23 |          0 |          2 |         25 |
| /Users/loucadaviot/Desktop/crfm/backend/controller/compagnie.controller.js                                     | JavaScript         |         86 |          0 |         13 |         99 |
